id,transaction_id,price,date_processed,quarter,month,year,year_month,post_code,property_type,whether_new,tenure,address1,address2,address3,address4,town,local_authority,county,record_status,post_code_clean,inner_outer,borough_code,borough_name,ward_code,ward_name,msoa11,lsoa11,oa11
3027299,{44B4C864-8251-4197-BA57-00EB6A6E6234},240000,04/01/13 00:00,1,1,2013,2013/1,TW3 3RJ,F,N,L,SMOOTHFIELD COURT,FLAT 92,HIBERNIA ROAD, ,HOUNSLOW,HOUNSLOW,GREATER LONDON, ,TW3 3RJ,Outer,E09000018,Hounslow,E05000359,Hounslow Heath,E02000543,E01002648,E00013171
3027300,{86624273-322D-44DC-81D2-00EBB419FC84},295000,18/01/13 00:00,1,1,2013,2013/1,SE9 3SZ,T,N,F,195, ,GREEN LANE, ,LONDON,GREENWICH,GREATER LONDON, ,SE9 3SZ,Outer,E09000011,Greenwich,E05000217,Coldharbour and New Eltham,E02000344,E01001599,E00007941
3027304,{7106CC07-5310-4780-8A9C-00EE230829FF},205000,02/01/13 00:00,1,1,2013,2013/1,IG2 7SA,T,N,F,887, ,EASTERN AVENUE, ,ILFORD,REDBRIDGE,GREATER LONDON, ,IG2 7SA,Outer,E09000026,Redbridge,E05000495,Aldborough,E02000763,E01003640,E00018350
3027310,{0B5CC0F3-04F1-42F3-A3BB-00F4FD3A434E},175500,11/01/13 00:00,1,1,2013,2013/1,RM9 5YH,S,N,F,28, ,WREN GARDENS, ,DAGENHAM,BARKING AND DAGENHAM,GREATER LONDON, ,RM9 5YH,Outer,E09000002,Barking and Dagenham,E05000037,Parsloes,E02000008,E01000080,E00000408
3027338,{DDD6AAD6-1510-4B55-90FF-010995B307D4},605000,09/01/13 00:00,1,1,2013,2013/1,SW6 1RL,F,N,L,17A, ,ONGAR ROAD, ,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON, ,SW6 1RL,Inner,E09000013,Hammersmith and Fulham,E05000254,Fulham Broadway,E02000388,E01001883,E00009399
3027355,{936C31A9-9453-40BE-B68D-0117C43478AB},499950,25/01/13 00:00,1,1,2013,2013/1,SW109QU,F,N,L,111,FLAT 5,DRAYTON GARDENS, ,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON, ,SW109QU,Inner,E09000020,Kensington and Chelsea,E05000386,Courtfield,E02000596,E01002838,E00014182
3027360,{1539C066-08FD-4EF9-911C-011A58C1F710},475000,17/01/13 00:00,1,1,2013,2013/1,TW122HW,S,N,F,5, ,PERCY ROAD, ,HAMPTON,RICHMOND UPON THAMES,GREATER LONDON, ,TW122HW,Outer,E09000027,Richmond upon Thames,E05000520,Hampton,E02000806,E01003827,E00019235
3027409,{24D0EA9E-102A-4B11-804C-01336AE7AAF5},209000,17/01/13 00:00,1,1,2013,2013/1,CR4 2BR,T,N,L,71, ,TYNEMOUTH ROAD, ,MITCHAM,MERTON,GREATER LONDON, ,CR4 2BR,Outer,E09000024,Merton,E05000461,Graveney,E02000696,E01003393,E00017195
3027416,{C05E1167-EAC8-4904-A931-0135D6302C8A},290000,11/01/13 00:00,1,1,2013,2013/1,CR8 5NS,S,N,F,6, ,FRENSHAM ROAD, ,KENLEY,CROYDON,GREATER LONDON, ,CR8 5NS,Outer,E09000008,Croydon,E05000156,Kenley,E02000233,E01001069,E00005351
3027450,{7573466B-F49D-43D3-991D-014E1E7EAC33},115000,16/01/13 00:00,1,1,2013,2013/1,E17 7DE,F,N,L,32, ,PRETORIA AVENUE, ,LONDON,WALTHAM FOREST,GREATER LONDON, ,E17 7DE,Outer,E09000031,Waltham Forest,E05000599,High Street,E02000911,E01004394,E00022082
3027453,{AE993E76-E35F-407A-905E-014EF5A604EE},250000,30/01/13 00:00,1,1,2013,2013/1,W7  2ED,F,N,L,15A, ,CUMBERLAND ROAD, ,LONDON,EALING,GREATER LONDON, ,W7  2ED,Outer,E09000009,Ealing,E05000176,Elthorne,E02000272,E01001248,E00006265
3027483,{A354B6F5-2A1C-4921-BF69-0167A566A478},285000,16/01/13 00:00,1,1,2013,2013/1,N16 7SB,F,N,L,13,GROUND FLOOR FLAT,JENNER ROAD, ,LONDON,HACKNEY,GREATER LONDON, ,N16 7SB,Inner,E09000012,Hackney,E05000238,Hackney Downs,E02000350,E01001769,E00008820
3027486,{41579B63-B7FC-44D5-9AA6-016AD70AA4F5},308900,04/01/13 00:00,1,1,2013,2013/1,WC1H9QS,F,Y,L,"ALBANY HOUSE, 41",FLAT 201,JUDD STREET, ,LONDON,CAMDEN,GREATER LONDON, ,WC1H9QS,Inner,E09000007,Camden,E05000141,King's Cross,E02000190,E01000937,E00004654
3027487,{31CB32FC-E007-42C1-9B95-016B6C2F075F},267500,31/01/13 00:00,1,1,2013,2013/1,RM126AL,S,N,F,29, ,DAWES AVENUE, ,HORNCHURCH,HAVERING,GREATER LONDON, ,RM126AL,Outer,E09000016,Havering,E05000311,Hacton,E02000488,E01002290,E00011427
3027536,{F6F78683-DEEC-4248-AAFD-018D3ECF4CB5},830000,14/01/13 00:00,1,1,2013,2013/1,W12 8NT,T,N,F,42, ,WARBECK ROAD, ,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON, ,W12 8NT,Inner,E09000013,Hammersmith and Fulham,E05000263,Shepherd's Bush Green,E02000376,E01001942,E00009756
3027541,{4B623C58-0B94-499C-B6F7-01917ED5407C},440951,04/01/13 00:00,1,1,2013,2013/1,E3  3LG,F,Y,L,"SARGASO COURT, 30",FLAT 704,VOYSEY SQUARE, ,LONDON,TOWER HAMLETS,GREATER LONDON, ,E3  3LG,Inner,E09000030,Tower Hamlets,E05000578,Bromley-by-Bow,E02000875,E01004242,E00167211
3027580,{F017E6ED-BEAC-4928-AFA8-01A8AB5E3F77},3400000,25/01/13 00:00,1,1,2013,2013/1,KT2 7JD,D,N,F,MAGNOLIA, ,COOMBE PARK, ,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON, ,KT2 7JD,Outer,E09000021,Kingston upon Thames,E05000406,Coombe Hill,E02000599,E01002956,E00174867
3027612,{62B25976-D46A-44AE-8A4B-01C16C016BBA},470000,16/01/13 00:00,1,1,2013,2013/1,SW7 2DL,F,N,L,1,FLAT 1,QUEENSBERRY PLACE, ,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON, ,SW7 2DL,Inner,E09000020,Kensington and Chelsea,E05000383,Brompton,E02000592,E01002820,E00014101
3027630,{50BAC00D-29CE-4074-AFB4-01CAD59CDF0F},235000,18/01/13 00:00,1,1,2013,2013/1,SE9 2BQ,S,N,F,49, ,MERCHLAND ROAD, ,LONDON,GREENWICH,GREATER LONDON, ,SE9 2BQ,Outer,E09000011,Greenwich,E05000219,Eltham South,E02000342,E01001619,E00008047
3027639,{B4A477D5-52C4-433A-B5DF-01CF6ED6B227},450000,18/01/13 00:00,1,1,2013,2013/1,SW164LS,D,N,F,127, ,POLLARDS HILL SOUTH,NORBURY,LONDON,CROYDON,GREATER LONDON, ,SW164LS,Outer,E09000008,Croydon,E05000158,Norbury,E02000197,E01001091,E00005417
3027657,{F9191863-5E2B-4918-B864-01DF6306D929},610000,17/01/13 00:00,1,1,2013,2013/1,KT5 9BQ,S,N,F,172, ,KING CHARLES ROAD, ,SURBITON,KINGSTON UPON THAMES,GREATER LONDON, ,KT5 9BQ,Outer,E09000021,Kingston upon Thames,E05000413,Surbiton Hill,E02000613,E01002996,E00015087
3027666,{C6D75A01-5F6A-445E-BC13-01E506536162},234000,08/01/13 00:00,1,1,2013,2013/1,TW136PA,T,N,F,20, ,SWAN CLOSE, ,FELTHAM,HOUNSLOW,GREATER LONDON, ,TW136PA,Outer,E09000018,Hounslow,E05000353,Hanworth,E02000553,E01002609,E00012989
3027667,{4847B5F9-B3D1-451F-B2C1-01E5D77BB305},80000,10/01/13 00:00,1,1,2013,2013/1,DA8 2PN,F,N,L,33, ,COLUMBUS SQUARE, ,ERITH,BEXLEY,GREATER LONDON, ,DA8 2PN,Outer,E09000004,Bexley,E05000079,North End,E02000072,E01000429,E00002142
3027671,{62DE8826-7A43-43FC-B601-01E860CFE642},260000,16/01/13 00:00,1,1,2013,2013/1,N14 4RD,F,N,L,2, ,TREGENNA CLOSE, ,LONDON,ENFIELD,GREATER LONDON, ,N14 4RD,Outer,E09000010,Enfield,E05000196,Cockfosters,E02000296,E01001419,E00007071
3027695,{9D7A01AD-0B8A-48B6-A4E2-01F21E2360DB},735000,25/01/13 00:00,1,1,2013,2013/1,N2  9DB,T,N,F,31, ,BEDFORD ROAD, ,LONDON,BARNET,GREATER LONDON, ,N2  9DB,Outer,E09000003,Barnet,E05000049,East Finchley,E02000052,E01000181,E00000905
3027702,{E0A852A7-C94F-4212-825D-01F635D95814},370000,18/01/13 00:00,1,1,2013,2013/1,N2  8AS,F,N,L,52, ,KITCHENER ROAD, ,LONDON,BARNET,GREATER LONDON, ,N2  8AS,Outer,E09000003,Barnet,E05000049,East Finchley,E02000052,E01000180,E00000903
3027712,{1BADEFF8-4A62-42A1-84DD-01FDDF2EF8CC},245000,11/01/13 00:00,1,1,2013,2013/1,N17 9GD,F,Y,L,MERLIN HEIGHTS,FLAT 62,WATERSIDE WAY, ,LONDON,HARINGEY,GREATER LONDON, ,N17 9GD,Inner,E09000014,Haringey,E05000281,Tottenham Hale,E02000411,E01002080,E00010450
3027716,{C1D2C697-25A1-4A2F-852B-02039E5D7157},527000,18/01/13 00:00,1,1,2013,2013/1,W10 4QE,T,N,F,122, ,ILBERT STREET, ,LONDON,CITY OF WESTMINSTER,GREATER LONDON, ,W10 4QE,Inner,E09000033,City of Westminster,E05000642,Queen's Park,E02000963,E01004720,E00023854
3027762,{1CC464E5-64EE-43AF-9084-0220F0D7403A},550000,18/01/13 00:00,1,1,2013,2013/1,CR8 1HW,D,N,F,27, ,PURLEY BURY CLOSE, ,PURLEY,CROYDON,GREATER LONDON, ,CR8 1HW,Outer,E09000008,Croydon,E05000159,Purley,E02000230,E01001096,E00005459
3027763,{3BA71A45-0FB2-47AE-B1AA-0220F4AA7158},249999,04/01/13 00:00,1,1,2013,2013/1,E8  3AP,F,N,L,"FORTUNE COURT, 325",FLAT 1,QUEENSBRIDGE ROAD, ,LONDON,HACKNEY,GREATER LONDON, ,E8  3AP,Inner,E09000012,Hackney,E05000245,Queensbridge,E02000364,E01001819,E00009067
3027804,{E846F2AA-E3AC-4E63-8911-023C121571B5},195000,28/01/13 00:00,1,1,2013,2013/1,E16 1FJ,F,Y,L,"BAYTHORNE HOUSE, 6",FLAT M04,TURNER STREET, ,LONDON,NEWHAM,GREATER LONDON, ,E16 1FJ,Inner,E09000025,Newham,E05000478,Canning Town South,E02000747,E01033576,E00175044
3027812,{BA62BF90-F1EE-46D1-8984-023F2FDB2086},284900,21/01/13 00:00,1,1,2013,2013/1,W13 0LW,F,N,L,31,FLAT 2,ARGYLE ROAD, ,LONDON,EALING,GREATER LONDON, ,W13 0LW,Outer,E09000009,Ealing,E05000171,Cleveland,E02000255,E01001207,E00006036
3027830,{85EE8782-02DB-47EA-9EF2-024A498188CC},215000,30/01/13 00:00,1,1,2013,2013/1,UB9 6BQ,T,N,F,16, ,MILNE WAY,HAREFIELD,UXBRIDGE,HILLINGDON,GREATER LONDON, ,UB9 6BQ,Outer,E09000017,Hillingdon,E05000330,Harefield,E02000496,E01002439,E00012149
3027902,{3D87EE21-BACD-47EF-94E5-028410AEF149},245000,24/01/13 00:00,1,1,2013,2013/1,E9  7HQ,F,N,L,10,FLAT B,NORTHIAM STREET, ,LONDON,HACKNEY,GREATER LONDON, ,E9  7HQ,Inner,E09000012,Hackney,E05000248,Victoria,E02000367,E01001837,E00009178
3027907,{DB722593-723B-464F-91E0-0287BEA04135},320000,14/01/13 00:00,1,1,2013,2013/1,SE4 1QG,F,N,L,18B, ,TYRWHITT ROAD, ,LONDON,LEWISHAM,GREATER LONDON, ,SE4 1QG,Inner,E09000023,Lewisham,E05000439,Brockley,E02000660,E01003211,E00016225
3027918,{96C2DE28-1322-4E4A-9B48-02913885ED27},182500,29/01/13 00:00,1,1,2013,2013/1,N17 6EY,F,N,L,28, ,LORDSMEAD ROAD, ,LONDON,HARINGEY,GREATER LONDON, ,N17 6EY,Inner,E09000014,Haringey,E05000268,Bruce Grove,E02000407,E01001977,E00009929
3027923,{F3C1D835-A321-42CF-9EE0-02946885C6D3},196000,25/01/13 00:00,1,1,2013,2013/1,N9  7NJ,T,N,F,78, ,MAYFIELD CRESCENT, ,LONDON,ENFIELD,GREATER LONDON, ,N9  7NJ,Outer,E09000010,Enfield,E05000206,Ponders End,E02000294,E01001503,E00007484
3027925,{E6CB9B77-327D-4E14-A68D-0295E0646F9B},295000,04/01/13 00:00,1,1,2013,2013/1,HA3 9QR,T,N,F,41, ,ORCHARD GROVE, ,HARROW,HARROW,GREATER LONDON, ,HA3 9QR,Outer,E09000015,Harrow,E05000294,Kenton East,E02000449,E01002165,E00010852
3027930,{885EBDAE-194E-423F-89C0-029967F74841},265000,11/01/13 00:00,1,1,2013,2013/1,N21 1JT,F,N,L,18, ,BROOKSIDE, ,LONDON,ENFIELD,GREATER LONDON, ,N21 1JT,Outer,E09000010,Enfield,E05000200,Grange,E02000293,E01001453,E00007238
3027931,{C4BC68FE-32A0-481A-A0AF-0299892BC93A},225000,07/01/13 00:00,1,1,2013,2013/1,SM2 6QG,F,N,L,MALVERN COURT,8,OVERTON ROAD, ,SUTTON,SUTTON,GREATER LONDON, ,SM2 6QG,Outer,E09000029,Sutton,E05000566,Sutton South,E02000857,E01004152,E00020908
3027959,{6134A138-BE5B-4F79-AA08-02A8D8C6A8D9},270000,18/01/13 00:00,1,1,2013,2013/1,N22 6PB,T,N,F,16, ,FARRANT AVENUE, ,LONDON,HARINGEY,GREATER LONDON, ,N22 6PB,Inner,E09000014,Haringey,E05000275,Noel Park,E02000406,E01002033,E00010209
3027983,{0B32808C-1518-4361-9199-02B590EDE932},76000,24/01/13 00:00,1,1,2013,2013/1,IG3 8XF,F,N,L,22,FLAT 1,BARLEY LANE, ,ILFORD,REDBRIDGE,GREATER LONDON, ,IG3 8XF,Outer,E09000026,Redbridge,E05000512,Seven Kings,E02000772,E01003770,E00175169
3028001,{BAD2D05E-57BE-4419-ACCC-02BF338302AA},628000,10/01/13 00:00,1,1,2013,2013/1,N1  9BZ,F,N,L,"ALBION BUILDINGS, 1",FLAT 10,ALBION WALK, ,LONDON,ISLINGTON,GREATER LONDON, ,N1  9BZ,Inner,E09000019,Islington,E05000368,Caledonian,E02000574,E01002711,E00013487
3028074,{921076C8-A3F8-44D9-ABFD-02E7A13EF4A9},350605,30/01/13 00:00,1,1,2013,2013/1,E14 6FT,F,Y,L,"MORO APARTMENTS, 22",FLAT 1004,NEW FESTIVAL AVENUE, ,LONDON,TOWER HAMLETS,GREATER LONDON, ,E14 6FT,Inner,E09000030,Tower Hamlets,E05000580,Limehouse,E02000887,E01004253,E00021405
3028104,{FA2BAA15-BA35-4EB9-80F7-02FC0BF6E77E},622000,11/01/13 00:00,1,1,2013,2013/1,NW8 9UY,F,N,L,FOSS HOUSE,FLAT 3,CARLTON HILL, ,LONDON,CITY OF WESTMINSTER,GREATER LONDON, ,NW8 9UY,Inner,E09000033,City of Westminster,E05000630,Abbey Road,E02000961,E01004648,E00023413
3028141,{A9274D2E-C60B-4283-99FF-0313B4521696},711000,31/01/13 00:00,1,1,2013,2013/1,CR0 5DR,D,N,F,13, ,UPFIELD, ,CROYDON,CROYDON,GREATER LONDON, ,CR0 5DR,Outer,E09000008,Croydon,E05000153,Fairfield,E02000216,E01001049,E00005229
3028167,{BD6A6ED8-04EB-4047-B82B-03225A191D26},220000,31/01/13 00:00,1,1,2013,2013/1,CR7 7EX,T,N,F,14, ,FAIRGREEN ROAD, ,THORNTON HEATH,CROYDON,GREATER LONDON, ,CR7 7EX,Outer,E09000008,Croydon,E05000148,Bensham Manor,E02000208,E01001004,E00004974
3028171,{8F754DA1-75F8-46EE-BD75-0323CD448D3F},95000,15/01/13 00:00,1,1,2013,2013/1,DA1 4FF,F,Y,L,82, ,TANNERS CLOSE,CRAYFORD,DARTFORD,BEXLEY,GREATER LONDON, ,DA1 4FF,Outer,E09000004,Bexley,E05000071,Crayford,E02000074,E01000380,E00001863
3028191,{0641E166-9C71-4DB3-8D59-03308DB47179},515000,14/01/13 00:00,1,1,2013,2013/1,W1T 1QP,F,N,L,25,FLAT 85,GRESSE STREET, ,LONDON,CAMDEN,GREATER LONDON, ,W1T 1QP,Inner,E09000007,Camden,E05000129,Bloomsbury,E02000191,E01000850,E00004172
3028218,{28DD5D43-81B1-40E0-9034-033EBBF96D95},567500,31/01/13 00:00,1,1,2013,2013/1,W2  2PJ,F,N,L,QUADRANGLE TOWER,FLAT 204,CAMBRIDGE SQUARE, ,LONDON,CITY OF WESTMINSTER,GREATER LONDON, ,W2  2PJ,Inner,E09000033,City of Westminster,E05000636,Hyde Park,E02000974,E01004684,E00023651
3028223,{90E843A8-E8B5-41A5-B0BA-0342037B532F},105000,25/01/13 00:00,1,1,2013,2013/1,RM124XA,F,N,L,144, ,ABBS CROSS GARDENS, ,HORNCHURCH,HAVERING,GREATER LONDON, ,RM124XA,Outer,E09000016,Havering,E05000320,St. Andrew's,E02000483,E01002361,E00011796
